Timestamp; Verbosity; Runtime; Log Name; Miner Type; Opt type; Opt Parameters; Metrics type; Optimal solution
[2024_08_01 - 18:33:40];0;23.21932578086853;BPI_Challenge_2013_closed_problems.xes;heuristic;NSGA-II;{'population_size': 100, 'offspring_population_size': 100, 'mutation': {'probability': 0.16666666666666666, 'distribution_index': 20}, 'crossover': {'probability': 1.0, 'distribution_index': 20}, 'termination_criterion': {'max_evaluations': 1000, 'evaluations': 1000}};basic;[0.20869467771908623, 0.16936208886393367, 3289, 950, 0.41627967279885636, 0.06954235329712166]
[2024_08_01 - 18:35:38];0;17.731399536132812;BPI_Challenge_2013_closed_problems.xes;heuristic;NSGA-II;{'population_size': 100, 'offspring_population_size': 100, 'mutation': {'probability': 0.16666666666666666, 'distribution_index': 20}, 'crossover': {'probability': 1.0, 'distribution_index': 20}, 'termination_criterion': {'max_evaluations': 1000, 'evaluations': 1000}};basic;[0.02394659003797761, 0.8364776595053307, 2862, 198, 0.11352039653952961, 0.6196181184479035]
[2024_08_01 - 18:41:15];0;17.203540802001953;BPI_Challenge_2013_closed_problems.xes;heuristic;NSGA-II;{'population_size': 100, 'offspring_population_size': 100, 'mutation': {'probability': 0.16666666666666666, 'distribution_index': 20}, 'crossover': {'probability': 1.0, 'distribution_index': 20}, 'termination_criterion': {'max_evaluations': 1000, 'evaluations': 1000}};basic;[0.5701510619562624, 0.4975524585427171, 2492, 429, 0.308528487891655, 0.07216125381394156]
[2024_08_01 - 18:43:44];0;17.152738571166992;BPI_Challenge_2013_closed_problems.xes;heuristic;NSGA-II;{'population_size': 100, 'offspring_population_size': 100, 'mutation': {'probability': 0.16666666666666666, 'distribution_index': 20}, 'crossover': {'probability': 1.0, 'distribution_index': 20}, 'termination_criterion': {'max_evaluations': 1000, 'evaluations': 1000}};basic;[0.5691044856157016, 0.17340716762138697, 3886, 450, 0.20975841987388177, 0.0542367638282526]
[2024_08_01 - 18:44:32];0;21.51020073890686;BPI_Challenge_2013_closed_problems.xes;heuristic;NSGA-II;{'population_size': 100, 'offspring_population_size': 100, 'mutation': {'probability': 0.16666666666666666, 'distribution_index': 20}, 'crossover': {'probability': 1.0, 'distribution_index': 20}, 'termination_criterion': {'max_evaluations': 1000, 'evaluations': 1000}};basic;[0.6574474863971141, 0.4475784608910125, 3209, 755, 0.962894869231461, 0.1843408713906779]
[2024_08_01 - 18:46:11];0;16.652945041656494;BPI_Challenge_2013_closed_problems.xes;heuristic;NSGA-II;{'population_size': 100, 'offspring_population_size': 100, 'mutation': {'probability': 0.16666666666666666, 'distribution_index': 20}, 'crossover': {'probability': 1.0, 'distribution_index': 20}, 'termination_criterion': {'max_evaluations': 1000, 'evaluations': 1000}};basic;[0.4766231520801517, 0.15135625005411413, 2565, 538, 0.09528460440434328, 0.8691910235818471]
[2024_08_01 - 18:47:17];0;16.096717357635498;BPI_Challenge_2013_closed_problems.xes;heuristic;NSGA-II;{'population_size': 100, 'offspring_population_size': 100, 'mutation': {'probability': 0.16666666666666666, 'distribution_index': 20}, 'crossover': {'probability': 1.0, 'distribution_index': 20}, 'termination_criterion': {'max_evaluations': 1000, 'evaluations': 1000}};basic;[0.4094159166923903, 0.8502914879377124, 277, 574, 0.003720157075342123, 0.8626018399198316]
[2024_08_01 - 18:48:03];0;16.567276000976562;BPI_Challenge_2013_closed_problems.xes;heuristic;NSGA-II;{'population_size': 100, 'offspring_population_size': 100, 'mutation': {'probability': 0.16666666666666666, 'distribution_index': 20}, 'crossover': {'probability': 1.0, 'distribution_index': 20}, 'termination_criterion': {'max_evaluations': 1000, 'evaluations': 1000}};basic;[0.18833246114128832, 0.4325202747468403, 1616, 722, 0.6948521332912103, 0.34117102926957077]
[2024_08_01 - 18:48:52];0;17.6730375289917;BPI_Challenge_2013_closed_problems.xes;heuristic;NSGA-II;{'population_size': 100, 'offspring_population_size': 100, 'mutation': {'probability': 0.16666666666666666, 'distribution_index': 20}, 'crossover': {'probability': 1.0, 'distribution_index': 20}, 'termination_criterion': {'max_evaluations': 1000, 'evaluations': 1000}};basic;[0.49591205427691665, 0.6459986330693723, 2367, 952, 0.8068783675123022, 0.5371790935878225]
[2024_08_01 - 18:51:59];0;15.386371850967407;BPI_Challenge_2013_closed_problems.xes;heuristic;NSGA-II;{'population_size': 100, 'offspring_population_size': 100, 'mutation': {'probability': 0.16666666666666666, 'distribution_index': 20}, 'crossover': {'probability': 1.0, 'distribution_index': 20}, 'termination_criterion': {'max_evaluations': 1000, 'evaluations': 1000}};basic;[0.13707505046123702, 0.8001354620499033, 2294, 768, 0.7419853484610783, 0.7796017885319876]
